Location,Country,City,Latitude,Longitude
"USDiplomaticPost:AddisAbabaCentral","ET","AddisAbaba",9.05850,38.7616
"USDiplomaticPost:AddisAbabaSchool","ET","AddisAbaba",8.99652,38.7254
"710NearRoad","US","LOSANGELES",33.8597,-118.201
"Anaheim","US","LosAngeles-LongBeach-SantaAna",33.8306,-117.939
"Glendora-Laurel","US","LosAngeles-LongBeach-SantaAna",34.1439,-117.851
"LosAngeles-N.Mai","US","LosAngeles-LongBeach-SantaAna",34.0664,-118.227
"Reseda","US","LosAngeles-LongBeach-SantaAna",34.1992,-118.533
"SantaClarita","US","LosAngeles-LongBeach-SantaAna",34.3833,-118.528
"SimiValley-Cochra","US","Oxnard-ThousandOaks-Ventura",34.2775,-118.685
"SouthLongBeach","US","LosAngeles-LongBeach-SantaAna",33.7922,-118.175
"AnandVihar","IN","Delhi",28.6508,77.3152
"DelhiTechnologicalUniversity","IN","Delhi",28.7440,77.1200
"IHBAS","IN","Delhi",28.6821,77.3050
"IncomeTaxOffice","IN","Delhi",28.6235,77.2494
"MandirMarg","IN","Delhi",28.6341,77.2005
"NSITDwarka","IN","Delhi",28.5910,77.0500
"PunjabiBagh","IN","Delhi",28.6683,77.1167
"RKPuram","IN","Delhi",28.5648,77.1744
"RKPuram","IN","Delhi",28.5648,77.1744
"Sector16AFaridabad","IN","Faridabad",28.4101,77.3138
"Shadipur","IN","Delhi",28.6517,77.1581
"USDiplomaticPost:NewDelhi","IN","Delhi",28.6358,77.2244
"VikasSadanGurgaon-HSPCB","IN","Gurgaon",28.4501,77.0263
