Year, Month, Date,Latitude,longitude,AOD1,AOD2,STD3
2019,4,3,77.315,28.651,0.4,0.323,0.105
2019,4,22,77.12,28.744,0.51,0.364,0.077
2019,4,3,77.305,28.682,0.4,0.397,0.09
2019,4,22,77.249,28.624,0.37,0.36,0.099
2019,4,3,77.201,28.634,0.37,0.36,0.083
2019,4,3,77.05,28.591,0.13,0.338,0.088
2019,4,22,77.117,28.668,0.45,0.365,0.072
2019,4,22,77.174,28.565,0.37,0.36,0.099
2019,4,22,77.174,28.565,0.31,0.31,0.099
2019,4,22,77.158,28.652,0.445,0.385,0.073
2019,4,3,77.224,28.636,0.37,0.275,0.083
2019,4,3,77.314,28.41,0.215,0.298,0.111
2019,4,3,77.026,28.45,0.212,0.403,0.119
